month,commission_monthly,commission_cumulative,revenue_monthly,revenue_cumulative
2025-01-01,6147.01,6147.01,0,0
2025-02-01,0,6147.01,0,0
2025-03-01,2015.291431,8162.301431,19485.54,19485.54
2025-04-01,15241.101504,23403.402935,25888.29462,45373.83462
2025-05-01,12127.402025,35530.80496,113196.619834,158570.454454
2025-06-01,3260.2885039999996,38791.093464,16290.027455,174860.481909
2025-07-01,5578.375129,44369.468593,29486.228157,204346.710066
2025-08-01,9886.131161,54255.599754,49417.331307,253764.041373
2025-09-01,6215.677811,60471.277565,31078.267756,284842.309129
2025-10-01,5140.571288,65611.848853,25612.821911,310455.13104
2025-11-01,0,65611.848853,0,310455.13104
